societe,date_document,source_fichier,primes_emises,charge_sinistres,provisions_techniques,resultat_net,total_bilan,fonds_propres,ratio_sp
AMANA,2025,Etat financier AMANA TAKAFUL 2025.pdf,,,,,,,
ASTREE,2025,Etat financier ASTREE 2025.pdf,8.923457013328226e+122,8.778298392446262e+24,2.385972385975665e+16,,,,
Etat financier ATIJARI ASSURANCES 2025,2025,Etat financier ATIJARI ASSURANCES 2025.pdf,1.690021791398435e+27,8.936253349310714e+66,738693.0,,,,
BIAT,2025,Etat financier BIAT ASSURANCE 2025.pdf,4.3490770463049416e+73,4.576157250435637e+23,6328.0,3.1122025256488434e+23,,,
BNA,2025,Etat financier BNA ASSURANCES 2025.pdf,3.074420243924618e+52,117031254.0,5.2328963450088525e+17,,,,
CARTE,2025,Etat financier CARTE 2025.pdf,,5.608158536904859e+63,,,,,
CARTE,2025,Etat financier CARTE VIE 2025 1.pdf,,4389739.0,,,,,
COMAR,2025,Etat financier COMAR 2025.pdf,,,4.358514358512336e+18,,,,
GAT,2025,Etat financier GAT 2025.pdf,,,97502.0,,9.991474929068012e+19,,
GAT,2025,Etat financier GAT VIE 2025.pdf,,6.911853426055243e+23,7.0,,,,
HAYETT,2025,Etat financier HAYETT 2025.pdf,,,4.1492941492935145e+36,,,,
MAGHREBIA,2025,Etat financier MAGHREBIA 2025.pdf,3.417848197321748e+76,1.2822101313777569e+26,3.4,202428361901.761,,,
MAGHREBIA,2025,Etat financier MAGHREBIA VIE 2025.pdf,,,,3023304026535372.0,,,
STAR,30-06-2025,Etat financier STAR 30-06-2025.pdf,1.3004849169711395e+30,,,,,,
TAKAFULIA,2025,Etat financier TAKAFULIA 2025.pdf,3.5407147137056625e+72,17277233.0,137713771414.0,,,,
ZITOUNA,2025,Etat financier ZITOUNA TAKAFUL 2025.pdf,6.442699126138625e+37,3.080283538234049e+23,4.21115797211158e+34,,,,
ASTREE,31-03-2026,Indicateurs d'activités ASTREE 31-03-2026.pdf,9.42153139182824e+24,,,,,,
BNA,31-03-2026,Indicateurs d'activités BNA ASSURANCES 31-03-2026.pdf,,,,,,,
MAGHREBIA,31-03-2026,Indicateurs d'activités MAGHREBIA 31-03-2026.pdf,,,,,,,
MAGHREBIA,31-03-2026,Indicateurs d'activités MAGHREBIA VIE 31-03-2026.pdf,,,,,,,
STAR,31-03-2026,Indicateurs d'activités STAR 31-03-2026.pdf,,,,,,,
MAGHREBIA,31-12-2025,MAGHREBIA_Rapport_Activites_31-12-2025.pdf,143039441.0,,42.0,4578846357357458.0,,46.0,
TAKAFULIA,31-12-2025,rapport d'activités AL TAKAFULIA 31-12-2025.pdf,,,137713771414.0,,,,
HAYETT,31-12-2025,rapport d'activités HAYETT 31-12-2025.pdf,,,,,,,
