societe,page,table_num,col,col_2,2025س ربمسيد 31 ىلا يفناج 01 نم,col_3,col_4,للاغتسلال ينابم,ةنس 50 ,تاريغت,2024 يفاصلا,col_5,2025 يفاصلا,col_6,col_7,ر صانعلا,col_8,2025 تاكلاهتس ا,col_9,2025 ماخلا,col_10,col_11,رصانعلا,col_12,2024يفاصلا,2025يفاصلا,2024 يّ تاّذلا لاوملأا,2025ةّيتاّذلا لاوملأا,2024 ةّيتاّذلا لاوملأا,2025 ةّيتاّذلا لاوملأا,عومجملا,ةيتاذ لاومأ,ةنسلا جئاتن,ةلجؤم جئاتن,تاطايتحا,لاملا سأر,col_13,col_14,سأر,ةـّينف تارخدّ م,"عومجملا
)3(+)2(-)1(",ثداوحلا ىلع تارخدملا,ىواعدلا تاعقوت,تاضيوعتلا تارخدم,تانايبلا,2024 ةيفاص طاسقأ,2025 ةيفاص طاسقأ,ةدنسم طاسقأ,ةرداص طاسقأ,نيمأّتلا طاسقأ,ةيفاص طاسقأ,"ةيفاص طاسقأ
2025",ناوعلأا ءابعا,2024,2025,غ لبملا,ة يفارغجلا ةقطنملا,"صقان وأ ضئاف
ةنماكلا ةميقلا",ةحيحص ةميق,يفاص غلبم,ماخ غلبم,تافيظوتلا ءابعأو تاداريإ عيزوت لودج :13 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج :16 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج : 17 ددع قحلملا,"2025-12-31 ف دئاوف
ي",غ لبملا فصر خــــيرات,ي مهاسملا,ة رادلاا سلجم ءاضعأ,دعاسملا ماعلا ريدملا,ماعلا ريدملا
AMANA,7,1,"يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,"وأ/و يلفاكتلا نيمأتلا ةسسؤم
ةدحوم يلفاكتلا نيمأتلا ةداعإ","يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,12,1,,,,,,ل قن تادّ عم,تاونس 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,12,1,,,,,,ة فلتخم ةيّبتكم تادّ عم,تاونس 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,12,1,,,,,,ة فلتخم ةئيهتو بيكرت تايّلمعو تازيهجت,تاونس 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,12,1,,,,,,ةيّملاعإ تادّ عم,تاونس 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,12,1,,,,,,ي تامولعملا ماظنلا,تاونس 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,14,1,,,,,,,,59 675,67 684,,127 359,,,ة يراجت تاملاعو صخرو تاءاربو تلازاــنت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,14,1,0,,,16 542,,,,,,16 542,,,,ي راــجت لص أ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,14,1,,,,,,,,59 675,84 226,,143 901,,,ع ومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,1,,,,,,,,86 522,76 979,,163 501,,,,,906 880,,1 070 381,,,ةئيهتو بيكرت ت ايلمعو تازيهجت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,1,,,,,,,,-159 540,562 947,,403 407,,,,,598 714,,1 002 121,,,ل قن تادعم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,15,1,,,,,,,,273 402,66 430,,339 832,,,,,448 256,,788 088,,,ب تاكم ثاثاو تادعم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
