societe,page,table_num,ACTIFS,"Brut
31/12/2025","Amort. & Prov.
31/12/2025","Net
31/12/2025","Net
31/12/2024",CAPITAUX PROPRES ET PASSIFS,31/12/2025,31/12/2024,Désignation,"Opérations brutes
Exercice 2025","Cessions et/ou
rétrocessions
Exercice 2025","Opérations nettes
Exercice 2025","Opérations nettes
Exercice 2024","Exercice clos
le 31/12/2025","Exercice clos
le 31/12/2024",col,col_2,col_3,DÉSIGNATION,Branche,Part %,Part %_2,Catégorie,Taux,col_4,Nature de la charge,Clé de répartition,Désignations,"Valeur brute
31/12/2025","Amort. cumulé
31/12/2025","Valeur nette
31/12/2025","Valeur nette
31/12/2024",Amort. cumulé/,col_5,col_6,Valeur nette,Terrain « La Perle du Lac II »,Montant,"Provision
31/12/2025",Variation,"Nombre des actions
détenues","Nombre total des actions de
la société émettrice",Pourcentage,"Valeur
brute
31/12/2025","Valeur
nette
31/12/2024",Valeur,"Provision
31/12/202","Valeur
nette
31/12/2025","Placements admis
en représentation
des provisions
techniques","Solde au
31/12/2025","Solde au
31/12/2024",Créances,"Moins d'un
an","1 an et (-) de
5 ans","Plus que 5
ans",Solde au 31/12/2025,Solde au 31/12/2024,Compagnie,Montant au 31/12/2025,"n Valeur nette
5 31/12/2025",Éléments,"Capital
social","Réserve
légale","Primes et
autres
réserves","Réserve
spéciale de
réévaluation","Titres
participatifs","Résultats
reportés","Résultat
de l'exercice","Total
en DT",CAPITAUX PROPRES,"31/12/2025
Avant réévaluation","31/12/2025
Après réévaluation","Valeur nette au
31/12/2025
Avant réévaluation","Valeur nette au
31/12/2025
Après réévaluation",Résultat par action,Exercice 2025,Exercice 2024,31/12/202,5,"Montant au
31/12/2025","Montant au
31/12/2024",Dettes,"Moins
d'un an","1 an et
(-) de 5 ans","Plus qu
5 an","e
Total
s","Opérations
brutes 2025",Cessions 2025,"Opérations
nettes 2025","Opérations
nettes 2024",Variations,Effectif,CATEGORIE,Zone,Montant 2025,Nature juridique,Titres participatifs,"Principal
souscrit","Principal restant
dû au 31/12/2025","Date de
souscription","Date
d’échéance","Taux
d’intérêt",Entité,Capital social,Part « BNA,Part « BNA_2,Total des réintégrations,2 846 901,Résultat fiscal avant déduction des provisions,13 371 168,IV Total déduction des bénéfices ou revenus exceptionnels non imposables,(3 699 967),Impôt sur les sociétés dû,(2 417 800),IS à payer,-,Valeur Brute,Amortissements et Provisions,col_7,col_8,col_9,col_10,col_11,col_12,col_13,Valeur brute,Juste valeur,"Plus ou moins-
value latente",Année d'inventaire,Exercice de survenance,Eléments,"Revenus et frais financiers concernant les placements
dans des entreprises liées ou avec un lien de
participation","Autres revenus et
frais financiers",Total,Raccordement,Libellés,Temporaires décès et capitalisation,Incendie,Transport,Risq. Divers,Risq. Spx,Automobile,Groupe,Charges de prestations,-2 029 799,-838 929,125 276,-123 954,-86 037 838,-6 094 762,-95 000 006,Solde de souscription,1 052 485,1 564 403,1 935 306,817 106,42 740 686,673 073,48 783 059,Produits nets de placements,388 091,146 269,144 095,133 319,18 680 223,48 364,19 540 361,Part des réassureurs et/ou des rétrocessionnaires dans les primes acquises,-2 220 316,-2 178 441,-699 516,-1 024 640,-3 349 982,-9 472 895,2 021 2 022 2 023 2 024 2 025
BNA,2,1,"AC1-Actifs incorporels
AC12-Concessions, brevets, licences, marques
AC13-Fonds commercial","3 170 410
1 927 250","2 872 469
902 806",,"705 095
659 082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,,,297 941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,,,1 024 444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,5 097 660,3 775 275,1 322 385,1 364 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,"AC2-Actifs corporels d'exploitation
AC21-Installations techniques et machines
AC22-Autres installations, outillage et mobilier
AC23-Acomptes versés et immobilisations en cours","8 632 898
2 118 218
137 300","5 773 008
1 670 443
-",,"2 891 294
840 929
129 400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
