societe,page,table_num,col,"setten
sesimé
semirP",col_2,Éléments,T1 - 2026,T1 - 2025,31/12/2025,"sélgér
sertsiniS","seédéc
semirP",col_3
BNA,1,1,,,,Vie,11 573,8 793,43 840,,,
BNA,1,1,,,,"Incendie, Risques Divers & Spéciaux",1 855,1 650,5 778,,,
BNA,1,1,,,,Transport,485,559,2 411,,,
BNA,1,1,,,,Santé,821,1 883,6 868,,,
BNA,1,1,,,,Automobile,36 157,32 465,131 650,,,
BNA,1,1,,,,Non Vie,39 318,36 557,146 707,,,
BNA,1,1,,,,Total,50 891,45 351,190 547,,,
BNA,1,2,,,,Vie,2 856,2 287,9 645,,,
BNA,1,2,,,,"Incendie, Risques Divers & Spéciaux",358,54,1 196,,,
BNA,1,2,,,,Transport,-,410,-,,,
BNA,1,2,,,,Santé,635,943,4 765,,,
BNA,1,2,,,,Automobile,14 697,21 284,84 652,,,
BNA,1,2,,,,Non Vie,15 690,22 691,90 613,,,
BNA,1,2,,,,Total,18 546,24 978,100 258,,,
BNA,1,3,,,,Vie,45,267,1 469,,,
BNA,1,3,,,,"Incendie, Risques Divers & Spéciaux",1 447,1 251,3 944,,,
BNA,1,3,,,,Transport,378,625,2 178,,,
BNA,1,3,,,,Santé,-,-,-,,,
BNA,1,3,,,,Automobile,361,433,3 350,,,
BNA,1,3,,,,Non Vie,2 186,2 309,9 473,,,
BNA,1,3,,,,Total,2 231,2 576,10 942,,,
BNA,1,4,,,,"Produits de placements
dont revenus financiers",8 871,8 740,31 506,,,
BNA,1,4,,,,,8 747,8 672,30 815,,,
BNA,1,5,,,,Commissions,5 962,5 676,22 274,,,
BNA,1,5,,,,Total,5 962,5 676,22 274,,,
