societe,page,table_num,"Flux
publiés
2024","Sinistres CSS Autres impôts Dividendes Produits R à S/ Jetons de
R à S/ Fournisseurs Fournisseurs
encaissés sur & Taxe & taxes hors servis nets financiers dividendes présence
IS d'exploitation d'immobilisations
cessions Conjoncturelle (FGA) de R à S encaissés versés servis","Flux
retraités
2024","Développements
en cours","Agencements
et
aménagements","Matériels de
transport","Matériels et
équipements de
bureau","Matériels
informatiques","Matériel
d'exploitation","Œuvres
d'arts",Total,Désignation,31/12/2025,col,col_2,31/12/2024,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,Exercice,Exercice_2,Taux,"Exercice
2025",Charges par nature,Charges par destination,"Exercice
2024",Résultat Comptable avant impôt (a),9 272 513,"+ Avoirs en banques, CCP, chèques et caisse",7 330 025,8 782 332,2 025,2 024,Nature de la rémunération,D.G.A (1),D.G.A (2),Administrateurs,Opérations de l'exercice,"GAT
Assurances","GAT
Investissement","GAT
Immobilier","GAT
Promotion
immobilière",GAT,Soldes à la fin de l'exercice,Engagements hors bilan,"Exercice de survenance
Année d'inventaire
2021 2022 2023 2024 2025","Revenus et frais financiers
concernant les placements
dans des entreprises liées et
avec lien de participation","Autres revenus
et frais financiers",Revenus et frais financiers,"Raccordement
selon Annexe n° 15
NCT 26",Type du client,"Composition du
portefeuille",Indice de référence,Benchmark
GAT,15,1,10 777,(10 777) - - - - - - - - -,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,-,10 777 - - - - - - - - -,10 777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(4 558 898),- - 259 096 (956 632) (171 517) 265 994 - - 2 000 (51 200),(5 211 155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(2 025 044),- 1 243 807 - 956 632 - - 1 125 (223 500) - -,(46 980),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,26 075 214,- 3 076 073 - - - - 223 500 - -,29 374 786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,-,- (4 319 880) (259 096) - - - - - - -,(4 578 976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(51 200),- - - - - - - - - 51 200,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(171 517),- - - - 171 517 (265 994) - - - -,(265 994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(1 746 875),- - - - - - (1 125) - (2 000) -,(1 750 000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,"-
30 934
-
-","244 726
5 118
-
-","387 630
-
-
-","135 273
-
-
-","31 426
-
-
-","66 419
3 040
-
-","28 585
-
-
-","2 564 841
72 672
90 671
(442 333)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,30 934,249 844,387 630,135 273,31 426,69 458,28 585,2 285 851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,"-
-
-
-","160 316
25 490
-
-","232 791
67 526
-
-","37 439
12 553
-
-","30 884
96
-
-","31 040
9 699
-
-","-
-
-
-","1 931 122
121 343
90 671
(280 882)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,-,185 806,300 317,49 992,30 979,40 739,-,1 862 254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,30 934,64 038,87 314,85 282,446,28 720,28 585,423 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,-,84 410,154 840,97 834,542,35 379,28 585,633 720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,,Brut,Provisions,Net,Brut,Provisions,Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Placements immobiliers (1),12 058 765,-,12 058 765,6 714 665,-,6 714 665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Terrains & constructions hors exploitation,5 344 100,-,5 344 100,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Parts et actions de sociétés immobilères non cotées,6 714 665,-,6 714 665,6 714 665,-,6 714 665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Autres placements (2),360 947 154,568 880,360 378 273,297 236 519,560 006,296 676 513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Bon de trésor assimilables,56 825 150,-,56 825 150,46 876 163,-,46 876 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Obligations,65 201 000,-,65 201 000,65 326 000,-,65 326 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Compte à terme et certificats de dépôts,176 565 164,-,176 565 164,144 501 368,-,144 501 368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Billets de trésorerie,29 685,29 685,-,29 685,29 685,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et titres cotés,13 152 307,94 833,13 057 475,15 220 158,113 760,15 106 398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et parts d'OPCVM,43 742 512,22 513,43 719 999,20 547 194,1 329,20 545 865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et titres non cotés,1 763 690,408 740,1 354 950,1 759 290,410 231,1 349 059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Avances sur contrats d'assurance vie,3 553 880,6 500,3 547 380,2 965 233,-,2 965 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Prêts au personnel,113 764,6 609,107 155,11 428,5 000,6 428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
