societe,page,table_num,col,2021,2022,2023,2024,2025,CA 2024,CA 2025,CA Prévisionnel 2026,"Taux de croissance
annuel moyen",ACTIONNAIRES,col_2,col_3,NOMBRE D’ACTIONS,col_4,col_5,%,col_6,CAPITAL,"RESERVE
LEGALE","PRIME
D'EMISSION","RESERVE
POUR FONDS
SOCIAL","RESERVES POUR
TOUTES
EVENTUALITES","RESULTAT
REPORTE","RESERVES POUR
REINVESTISSEME
NTS EXONERES","RESERVES
SOUMISES A
UN REGIME
FISCAL
SPECIAL","RESULTAT DE
L'EXERCICE",TOTAL,B.2 Objectifs et politique de la société en matière de gestion des risques financiers y compris sa politique concernant,• Évolutions majeures entamées en 2025 :
HAYETT,3,1,CHIFFRE D'AFFAIRES (en MD),"80,594","83,061","94,745","112,350","134,202",,,,,,,,,,,,,,,,,,,,,,,,
HAYETT,3,1,TAUX DE CROISSANCE,"37,90%","3,10%","14,07%","18,58%","19,45%",,,,,,,,,,,,,,,,,,,,,,,,
HAYETT,3,2,PROVISIONS TECHNIQUES (en MD),"320,670","350,803","404,100","473,050","551,321",,,,,,,,,,,,,,,,,,,,,,,,
HAYETT,3,3,FONDS PROPRES (en MD),"42,980","45,420","53,870","56,890","61,150",,,,,,,,,,,,,,,,,,,,,,,,
HAYETT,4,1,GRANDE BRANCHE,,,,,,50 117 201,61 176 978,68 809 601,12%,,,,,,,,,,,,,,,,,,,,
HAYETT,4,1,HP & FAIDA & UC,,,,,,6 776 883,7 716 223,9 596 066,24%,,,,,,,,,,,,,,,,,,,,
HAYETT,4,1,BANCASSURANCE,,,,,,33 029 002,39 261 035,43 029 264,10%,,,,,,,,,,,,,,,,,,,,
HAYETT,4,1,COLLECTIVES,,,,,,22 426 821,26 047 603,27 136 453,4%,,,,,,,,,,,,,,,,,,,,
HAYETT,4,1,TOTAL GENERAL,,,,,,112 349 907,134 201 838,148 571 384,11%,,,,,,,,,,,,,,,,,,,,
HAYETT,4,2,,,,,,,,,,,COMAR,,,100 643,,,"67,10%",,,,,,,,,,,,,
HAYETT,4,2,,,,,,,,,,,AMEN BANK,,,37 500,,,"25,00%",,,,,,,,,,,,,
HAYETT,7,1,Solde au 31/12/2020 avant affectation,,,,,,,,,,,,,,,,,,15 000 000,1 495 460,50 000,568 188,10 627 137,-,4 071 155,13 731,6 433 944,38 259 615,,
HAYETT,7,1,Affectation des résultats 2020,,,,,,,,,,,,,,,,,,,4 540,,,3 429 405,,,,- 3 433 944,-,,
HAYETT,7,1,Dividendes distribués,,,,,,,,,,,,,,,,,,,,,,,,,,- 3 000 000,- 3 000 000,,
