societe,page,table_num,col,Juste Valeur,col_2,col_3,Garanties,"Une provision pour garantie est
comptabilisée au moment de la
vente des biens ou services
correspondants sur la base de
données historiques des garanties
et en pondérant les sorties
possibles en fonction de leur
probabilité.",Résultat Net,Capitaux Propres Hors Résultat,Impact sur le Résultat,"Impact sur les Capitaux
Propres Hors Résultat",Secteur d'activité,Notation,Exposition,col_4,Perte de crédit attendue,"31/12/2025 31/12/2024
Valeur brute avant Valeur brute avant
Dépréciation Valeur nette Dépréciation Valeur nette
dépréciation dépréciation",-10 197 451,Risques et Opportunités,Principaux postes impactés,Etendue,Indicateur,2025,2024,2023
MAGHREBIA,15,1,,"Niveau 1: titres négociés
sur un marché actif ,
valorisés selon les
dernières cotations","Niveau 2: titres valorisés
selon une technique de
valorisation utilisant des
données observables","Niveau 3: titres valorisés
selon une technique de
valorisation n'utilisant pas
uniquement des données
de marché observables",,,,,,,,,,,,,,,,,,,,
MAGHREBIA,15,1,Action cotée,53 473 812,-,-,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,15,1,Action non cotée,-,15 035 900,59 019 891,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,15,1,"Fonds Communs de
Placement",29 785 587,-,-,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,15,1,"Fonds Communs de
Placements à Risque",-,-,11 258 889,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,15,1,Total,8 3 259 400,1 5 035 900,7 0 278 781,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,41,1,,,,,Restructuration,"Une provision pour restructuration
est comptabilisée lorsque la
Société a approuvé un plan
formalisé et détaillé de
restructuration et a, soit commencé
à exécuter le plan, soit rendu le
plan public. Les pertes
d’exploitation futures ne sont
pas provisionnées.",,,,,,,,,,,,,,,,,,
MAGHREBIA,41,1,,,,,"Remise en état
des sites","Conformément à la politique de
préservation de l’environnement
affichée par la Société et à la
législation applicable, une
provision pour remise en état des
terrains pollués est comptabilisée,
avec une charge correspondante,
dès que les terrains deviennent
pollués.",,,,,,,,,,,,,,,,,,
MAGHREBIA,41,1,,,,,"Contrats
déficitaires","Une provision pour contrat
déficitaire est évaluée à la valeur
actuelle du plus faible du coût
attendu de la résiliation ou de
l’exécution du contrat, ce dernier
étant déterminé sur la base des",,,,,,,,,,,,,,,,,,
MAGHREBIA,50,1,,,Baisse 1%,Baisse 1%,,,Hausse 1%,Hausse 1%,,,,,,,,,,,,,,,,
MAGHREBIA,50,1,Instruments financiers,,‐197 187,0,,,198 323,0,,,,,,,,,,,,,,,,
MAGHREBIA,50,1,Contrats d'assurance,,0,0,,,0,0,,,,,,,,,,,,,,,,
MAGHREBIA,52,1,Hausse de 5%,,,,,,,,651 262,1 407 480,,,,,,,,,,,,,,
MAGHREBIA,52,1,Baisse de 5%,,,,,,,,‐ 651 262,‐ 1 407 480,,,,,,,,,,,,,,
MAGHREBIA,52,2,,42 497 614,,,,,,,,,Financier,,,,,,,,,,,,,
MAGHREBIA,52,2,,2 497 611,,,,,,,,,Industrie manufacturière,,,,,,,,,,,,,
MAGHREBIA,52,2,,1 562 652,,,,,,,,,Industrie Agroalimentaire,,,,,,,,,,,,,
MAGHREBIA,52,2,,1 969 159,,,,,,,,,Télécommunications,,,,,,,,,,,,,
MAGHREBIA,52,2,,3 260 791,,,,,,,,,Services,,,,,,,,,,,,,
MAGHREBIA,52,2,,1 685 985,,,,,,,,,Holding,,,,,,,,,,,,,
MAGHREBIA,52,2,,53 473 812,,,,,,,,,Total,,,,,,,,,,,,,
MAGHREBIA,53,1,AA‐,,,,,,,,,,,,1 496 886,,,,,,,,,,,
MAGHREBIA,54,1,Etablissement de Leasing,,,,,,,,,,,,40 570 636,,20 594,,,,,,,,,
MAGHREBIA,54,1,Etat,,,,,,,,,,,,306 889 733,,253 565,,,,,,,,,
MAGHREBIA,54,1,Institution Bancaire,,,,,,,,,,,,202 486 282,,10 330 629,,,,,,,,,
MAGHREBIA,54,1,Institution de Microcrédit,,,,,,,,,,,,16 316 005,,33 232,,,,,,,,,
MAGHREBIA,54,1,Total,,,,,,,,,,,,566 262 656,,10 638 020,,,,,,,,,
