societe,page,table_num,Actifs,31/12/2025,col,col_2,31/12/2024,Assets,Capitaux propres et passifs,Equity and liabilities,"Opérations
brutes
31/12/2025","Cessions et
rétrocessions
31/12/2025","Opérations
nettes
31/12/2025","Opérations
nettes
31/12/2024","Gross
operations
31/12/2025","Assignments &
retrocessions
31/12/2025","Net operations
31/12/2025","Net operations
31/12/2024",31/12/2024*,Passifs,Liabilities,"Capitaux
propres au
01/01/2025","Distribution
de dividendes","Mouvements
sur les réserves","Autres
variations",Résultat 2025,"Capitaux
propres au
31/12/2025","Equity at
01/01/2025","Distribution of
dividends","Movements in
reserves",Other changes,2025 result,"Equity at
31/12/2025",Désignation / Description,2024,2025,VAR %,"Type de placement /
Type of Investment",%,%_2,"Taux Var./
Variation
2025 /2024","Taux Var./
Variation
2025 / 2024",Actif,Passif,"Capitaux propres
au 01/01/2025","Distribution de
dividendes","Mouvements sur
les réserves","Capitaux propres
au 31/12/2025",Désignation / Designation,"Taux Var./
Variation
2024 / 2025",Equity and Laibilities,"Opérations
Nettes
31/12/2025","Opérations
Nettes
31/12/2024","Mouvements
sur fond
social","Mouvements
sur les
réserves","Dividend
distribution","Movements
in social
capital","Movements
in reserves","Other
changes",31/12/2025_2,31/12/2024_2
MAGHREBIA,19,1,,Montant brut,Amort & Prov,Montant net,Montant net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Actifs incorporels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Ecart d'acquisition,329 727,247 295,82 432,98 918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Investissements de recherche et développement,496 946,185 898,311 048,18 802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,"Concessions, brevets, licences, marques",6 726 092,5 145 298,1 580 794,1 763 123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,,7 552 765,5 578 492,1 974 273,1 880 843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Actifs corporels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Installations techniques et machines,11 813 028,8 504 898,3 308 130,2 838 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,"Autres installations, outillage et mobilier",3 595 460,2 144 889,1 450 571,1 244 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Acomptes versés et immobilisation corporelles en cours,255 596,0,255 596,12 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,,15 664 084,10 649 786,5 014 297,4 094 774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Placements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Terrains et constructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Terrains et constructions d'exploitation,15 382 016,4 211 669,11 170 347,14 489 832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Terrains et constructions hors exploitation,42 045 652,11 262 603,30 783 049,28 146 941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Placements dans les entreprises liées et participations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Parts dans des entreprises liées,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Parts dans des entreprises avec liens de participation,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Autres placements financiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Actions et autres titres à revenu variable,271 778 256,7 563 681,264 214 575,224 614 595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Obligations et autres titres à revenu fixe,775 056 477,274 222,774 782 254,719 003 900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Autres prêts,7 916 078,0,7 916 078,7 109 355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Créances pour espèces déposées auprès des entreprises cédantes,3 393 271,0,3 393 271,2 332 437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,"Placements représentant les provisions techniques des contrats
en unités des comptes",17 210 192,0,17 210 192,14 291 672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,,1 132 781 942,23 312 175,1 109 469 767,1 009 988 733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Part des réassureurs dans les provisions techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Provisions pour primes non acquises (non vie),17 046 907,0,17 046 907,17 032 786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Provisions mathématiques (vie),17 480 403,0,17 480 403,14 363 238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Provisions pour sinistres (non vie),37 889 651,0,37 889 651,32 403 536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Provisions pour sinistres ( vie),13 474 941,0,13 474 941,10 737 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Provisions d'égalisation et équilibrage (non vie),521 325,0,521 325,494 559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,,86 413 226,0,86 413 226,75 031 515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Créances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Créances nées d'opérations d'assurance directe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Primes acquises et non émises,32 250 068,0,32 250 068,32 464 741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Autres créances nées d'opérations d'assurances directes,87 685 792,43 388 201,44 297 591,40 165 319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Créances nées d'opérations de réassurance,22 095 207,413 043,21 682 164,18 421 656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Autres créances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Personnel,729 924,0,729 924,376 429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,"Etat, organismes de sécurité sociale, collectivités publiques",18 537 475,0,18 537 475,18 927 051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Etat impôt differé,5 770,0,5 770,5 770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Débiteurs divers,21 179 038,3 040 254,18 138 784,19 448 606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,,182 483 274,46 841 499,135 641 775,129 809 571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Autres éléments d’actif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,"Avoirs en banque, CCP, chèques et caisse",27 373 781,6 213 822,21 159 959,8 790 154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Frais d'acquisition reportés,9 618 589,0,9 618 589,8 423 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Autres charges à répartir,108 227,0,108 227,216 454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Comptes de régularisation Actif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Intérêts et loyers acquis non échus,37 436 263,735 238,36 701 025,32 275 821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Autres comptes de régularisation,12 250 067,0,12 250 067,13 357 195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,,86 786 927,6 949 060,79 837 867,63 062 950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,19,1,Total de l’actif,1 511 682 217,93 331 012,1 418 351 205,1 283 868 386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,Gross amount,Depre & Prov,Net amount,Net amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,,,,,Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,329 727,247 295,82 432,98 918,Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,496 946,185 898,311 048,18 802,Investment in research and development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,6 726 092,5 145 298,1 580 794,1 763 123,"Concessions, patents, licenses, trademarks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,7 552 765,5 578 492,1 974 273,1 880 843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,,,,,Operating tangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,11 813 028,8 504 898,3 308 130,2 838 211,Technical installations and machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,3 595 460,2 144 889,1 450 571,1 244 113,Other installations equipments and furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,255 596,0,255 596,12 450,"Guarantees, deposits and assets under construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,15 664 084,10 649 786,5 014 297,4 094 774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,,,,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,,,,,Land and buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,15 382 016,4 211 669,11 170 347,14 489 832,Operating land and buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,42 045 652,11 262 603,30 783 049,28 146 941,Non-Operating land and buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,,,,,Investments in affiliated entreprises and participating interests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,0,0,0,0,Shares in affiliated undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,20,1,,0,0,0,0,Shares in companies with participating interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
