societe,page,table_num,col,au 30/06/2025,col_2,col_3,au 30/06/2024,au 31/12/2024,CAPITAUX PROPRES ET LE PASSIF,30/06/2025,30/06/2024,31/12/2024,Opérations brutes,cessions et/ou,Opérations nettes,Opérations nettes_2,Opérations nettes_3,Notes:,"cessions et/ou
rétrocessions",Au 30/06/2025,Au 30/06/2024,Au 31/12/2024,Désignation,AU 30/06/2025,AU 30/06/2024,AU 31/12/2024,Libellés,Valeur,"Amortissements
au 30/06/2025",Valeur_2,col_4,col_5,Valeur_3,col_6,col_7,Valeur_4,col_8,Amortissements,"Valeur
Nette au
30/06/2024","Valeur Brute
au
30/06/2025","Valeur Nette
au
30/06/2025","Valeur Nette
au
30/06/2024",Valeur Nette,Valeur Brute,Provision,Montant net,"Valeur Net au
30/06/2024","Valeur Net au
31/12/2024",Capitaux,Affectations,Dividendes,"Résultat
2025",Capitaux_2,Résultat,"Opérations
brutes
30/06/2025","Cessions
2025",Opérations,"Opérations
nettes au
30/06/2024",col_9,Opérations_2,col_10,Cessions,"Opérations
nettes au
30/06/2025",Opérations_3,PRNT13 +,PRNT14 +,CHNT11 +,Valeur brute,Valeur nette,Juste valeur,CATEGORIES,GROUPE,A.TRAVAIL,INCENDIE,RISQUES DIVERS,TRANSPORT,AVIATION,AUTOMOBILE,ACCEPTATION,TOTAL,Année d'inventaire,Exercice,"Annexe n°15 : Tableau de raccordement du Résultat technique de la catégorie
Vie au 30/06/2025",Annexe 16 : Tableau de raccordement du Résultat technique de la
STAR,2,1,ACTIF DU BILAN,Brut,"Amortissements
et provisions:",Net,Net,Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,"AC1 Actifs incorporels
AC12 Concessions, brevets, licences, marques
AC13 Fonds commercial
AC2 Actifs corporels d'exploitation
AC21 Installations techniques et machines
AC22 Autres installations, outillage et mobilier
AC3 Placements
AC31 Terrains et constructions
AC311 Terrains et constructions d'exploitation
AC312 Terrains et constructions hors exploitation
AC32 Placements dans les entreprises liées et participations",,,"9 458 983
0","8 862 804
0","8 844 062
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,27 782 899,18 323 916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,27 782 899,18 323 916,9 458 983,8 862 804,8 844 062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,22 254 427,17 240 695,5 013 732,4 491 954,"3 815 088
407 161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,3 761 449,3 393 650,367 799,470 996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,26 015 876,20 634 345,5 381 531,4 962 950,4 222 249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,60 419 100,6 434 254,53 984 846,52 312 459,54 136 575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,"16 750 492
43 668 608","4 363 229
2 071 025","12 387 263
41 597 583","11 916 345
40 396 114","12 493 482
41 643 093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,216 422 862,27 112 183,"189 310 679
53 000 000
136 310 679","169 399 924
53 000 000
116 399 924","169 663 864
53 000 000
116 663 864
884 303 099
35 259 353
824 169 700
15 269 348
9 604 698
4 666 959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,"AC322 Bons et obligations émis par les entreprises liées et créances
AC323 Parts dans les entreprises avec un lien de participation","53 000 000
163 422 862","0
27 112 183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,"AC33 Autres placements financiers
AC331 Actions, autres titres à revenu variable
AC332 Obligations et autres titres à revenu fixe
AC334 Autres prêts
AC336 Autres
AC34 Créances pour espèces déposées auprès des entreprises cédantes
AC5 Part des réassureurs dans les provisions techniques
AC510 Provision pour primes non acquises
AC530 Provision pour sinistres (vie)
AC531 Provision pour sinistres (non vie)
AC541 Provision pour participation aux bénéfices et ristournes (non vie)
AC6 Créances
AC61 Créances nées d'opérations d'assurance directe
AC611 Primes acquises et non émises
AC612 Autres créances nées d'opération d'assurance directe
AC613 Créances indemnisées subrogées à l'entreprise d'assurance
AC62 Créances nées d'opérations de réassurance
AC63 Autres créances
AC631 Personnel
AC632 Etat, organismes de sécurité sociale, collectivités publiques
AC633 Débiteurs divers
AC64 Créances sur ressources spéciales
AC7 Autres éléments d'actif
AC71 Avoirs en banque, CCP, chèques et caisse
AC72 Charges reportées
AC721 Frais d'acquisition reportés
AC722 Autres charges à repartir
AC73 Comptes de régularisation Actif
AC731 Intérêts et loyers acquis non échus
AC732 Estimations de réassurance
AC733 Autres comptes de régularisation
AC74 Ecart de conversion",869 605 185,9 206 141,860 399 044,850 319 637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,35 858 635,6 836 891,"29 021 744
805 762 101
15 340 239
10 274 960
4 624 584","25 792 763
805 009 350
14 781 714
4 735 810
4 551 895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,806 412 602,650 501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,15 369 215,28 976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,11 964 733,1 689 773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,4 624 584,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,1 151 071 731,42 752 578,1 108 319 153,1 076 583 915,1 112 770 497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,"12 880 926
1 779 924
82 447 008
3 672 097","0
0
0
0","12 880 926
1 779 924
82 447 008
3 672 097",12 043 960,12 618 499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,,,,2 050 995,572 719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,,,,"82 178 260
3 954 603","78 171 670
2 795 490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,100 779 955,0,100 779 955,100 227 818,94 158 378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,280 860 140,68 612 547,"212 247 593
17 434 655
156 295 640
38 517 298","186 243 810
13 949 675
131 898 879
40 395 256",180 319 541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,17 434 655,0,,,19 225 180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,217 486 610,61 190 970,,,118 470 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,45 938 875,7 421 577,,,42 623 970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,17 602 991,7 747 688,9 855 303,11 301 382,5 262 253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,71 192 727,2 459 936,68 732 791,70 380 465,67 957 406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,4 225 409,96 222,"4 129 187
61 794 746
2 808 858
0","2 444 882
64 237 677
3 697 906
0",1 797 538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,61 794 746,0,,,63 057 490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,5 172 572,2 363 714,,,3 102 378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,369 655 858,78 820 171,290 835 687,267 925 657,253 539 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,65 109 655,2 298 689,62 810 966,30 880 438,"27 692 820
20 434 444
20 434 444
0
48 195 349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,26 039 019,0,26 039 019,22 613 675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,"26 039 019
0","0
0","26 039 019
0","22 613 675
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,48 661 897,0,48 661 897,50 744 667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,47 299 810,"0
0
0
0","47 299 810
403 447
958 640
1 978 371","48 936 634
403 447
1 404 586
2 019 108",46 436 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,403 447,,,,"403 447
1 355 886
1 978 371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,"958 640
1 978 371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,,141 788 942,2 298 689,139 490 253,106 257 888,98 300 984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,2,1,Total de l'actif,1 817 095 261,162 829 699,1 654 265 562,1 564 821 032,1 571 835 370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,"CAPITAUX PROPRES:
CP1 Capital social ou fonds équivalent
CP2 Réserves et primes liées au capital
CP3 Rachat d'actions propres
CP4 Autres capitaux propres
CP5 Résultat reporté
Total capitaux propres avant résultat de l'exercice
CP6 Résultat de l'exercice","23 076 930
173 336 160
0
1 926 258
211 923 297","23 076 930
172 593 010
0
1 926 258
202 487 989","23 076 930
172 593 560
0
1 926 258
202 487 989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,410 262 645,400 084 187,400 084 737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,21 317 114,14 729 719,29 813 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,Total capitaux propres avant affectation,431 579 759,414 813 906,429 897 743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,"PASSIF:
PA2 Provisions pour autres risques et charges
PA23 Autres provisions
PA3 Provisions techniques brutes
PA310 Provision pour primes non acquises
PA320 Provision d'assurance vie
PA330 Provision pour sinistres (vie)
PA331 Provision pour sinistres (non vie)
PA340 Provisions pour participations aux bénéfices et ristournes (vie)
PA341 Provisions pour participations aux bénéfices et ristournes (non vie)
PA350 Provision pour égalisation et équilibrage
PA360 Autres provisions techniques (vie)
PA361 Autres provisions techniques (non vie)
PA5 Dettes pour dépôts en espéces reçus des cessionnaires
PA6 Autres dettes
PA61 Dettes nées d'opérations d'assurance directe
PA62 Dettes nées d'opérations de réassurance
PA63 Autres dettes
PA631 Dépôts et cautionnements reçus
PA632 Personnel
PA633 Etat, organismes de sécurité sociale, collectivités publiques
PA634 Créditeurs divers
PA7 Autres passifs
PA71 Comptes de régularisation Passif
PA710 Report de commissions reçues des réassureurs
PA711 Estimations de réassurance
PA712 Autres comptes de régularisation Passif
PA72 Ecart de conversion",15 053 066,16 771 943,15 634 483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,15 053 066,16 771 943,15 634 483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,"140 518 755
122 594 568
32 481 460
701 875 747
2 498 717
12 256 201
597 504
0
18 608 505","130 476 110
100 820 758
27 739 546
688 707 011
1 775 500
11 667 761
0
0
22 297 558","110 249 254
111 141 143
30 960 970
696 829 163
1 775 055
10 903 669
597 504
0
19 000 540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,1 031 431 457,983 484 244,981 457 298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,"36 231 094
102 710 392
32 675 692
19 565 470","34 754 632
83 940 385
25 644 635
15 109 525","31 306 592
81 954 580
25 561 475
17 511 469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,50 469 230,43 186 225,38 881 636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,"5 865 555
5 431 751
10 099 171
29 072 753","5 860 276
11 251 852
10 433 833
15 640 264","5 892 625
10 397 388
10 733 873
11 857 749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,138 941 486,118 695 016,113 261 172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,"33 744 678
3 035 750
0
30 708 928
3 515 116","27 493 066
2 417 952
0
25 075 114
3 562 856","28 069 558
2 610 133
0
25 459 425
3 515 116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,,37 259 794,31 055 922,31 584 674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,Total du Passif,1 222 685 803,1 150 007 126,1 141 937 627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,3,1,,,,,,,TOTAL DES CAPITAUX PROPRES ET DU PASSIF,1 654 265 562,1 564 821 032,1 571 835 370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,30/06/2025,rétrocessions,30/06/2025,30/06/2024,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,,30/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,"PRNV1 Primes acquises
PRNV11 Primes émises et acceptées
PRNV12 Variation de la provision pour primes non acquises
Produits de placements alloués, transférés de
PRNT3
l'état de résultat
PRNV2 Autres produits techniques
CHNV1 Charge de sinistres
CHNV11 Montants payés
CHNV12 Variation de la provision pour sinistres
CHNV2 Variation des autres provisions techniques
CHNV3 Participation aux bénéfices et ristournes
CHNV4 Frais d'exploitation
CHNV41 Frais d'acquisition
CHNV42 Variation du montant des frais d'acquisition reportés
CHNV43 Frais d'administration
CHNV44 commissions reçues des réassureurs
CHNV5 Autres charges techniques
Variation de la provision pour égalisation et
CHNV6
équilibrage",,"+
+/-
+
+
-
+/-
+/-
-
+/-
-
+
-
+/-",,,,,,,,"220 599 507
-30 269 501","26 624 602
-262 428","193 974 905
-30 007 073","179 231 512
-23 391 496","330 891 215
-2 590 102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,190 330 006,26 362 174,163 967 832,155 840 016,328 301 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,39 758 638,0,39 758 638,33 684 838,59 591 480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,180 419,0,180 419,190 139,380 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,"147 908 530
5 046 584","-1 152 071
-4 275 337","146 756 459
771 247","149 551 994
759 303","282 745 828
12 888 045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,152 955 114,-5 427 408,147 527 706,150 311 297,295 633 873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
