societe,page,table_num,"Unité : 1000 dinars
Primes Emises Nettes d'Annulations, de Ristournes /Exercice En cours ,de coassurances et de Taxes",col,col_2,col_3
STAR,1,1,Branches,1er Trimestre 2026,1er Trimestre 2025,AU 31/12/2025
STAR,1,1,"Automobile
Incendie et Risques Divers
Transport
Autres Branches","73 002
18 933
2 392
45 053","70 320
20 386
2 788
40 715","221 446
42 214
14 685
139 705"
STAR,1,1,Total Non Vie,139 380,134 210,418 049
STAR,1,1,Vie,14 739,14 207,66 065
STAR,1,1,Total Général,154 119,148 417,484 114
STAR,1,1,,,,
STAR,1,1,PRIMES ACQUISES,,,
STAR,1,1,Branches,1er Trimestre 2026,1er Trimestre 2025,AU 31/12/2025
STAR,1,1,"Automobile
Incendie et Risques Divers
Transport
Autres Branches","55 537
11 832
2 388
38 117","47 080
8 303
2 944
28 667","205 735
38 538
15 344
139 271"
STAR,1,1,Total Non Vie,107 874,86 993,398 888
STAR,1,1,Vie,14 739,14 080,65 809
STAR,1,1,Total Général,122 613,101 073,464 697
STAR,1,1,,,,
STAR,1,1,PRIMES CEDEES,,,
STAR,1,1,Branches,1er Trimestre 2026,1er Trimestre 2025,AU 31/12/2025
STAR,1,1,"Automobile
Incendie et Risques Divers
Transport
Autres Branches","3 281
11 084
1 764
0","3 281
11 074
1 926
48","13 766
23 953
11 600
629"
STAR,1,1,Total Non Vie,16 128,16 330,49 949
STAR,1,1,Vie,1,0,2 746
STAR,1,1,Total Général,16 129,16 330,52 695
STAR,1,1,,,,
STAR,1,1,COMMISSIONS ECHUES,,,
STAR,1,1,Branches,1er Trimestre 2026,1er Trimestre 2025,AU 31/12/2025
STAR,1,1,Total Général,16 901,14 739,51 525
STAR,1,1,,,,
STAR,1,1,SINISTRES REGLES,,,
STAR,1,1,Branches,1er Trimestre 2026,1er Trimestre 2025,AU 31/12/2025
STAR,1,1,"Automobile
Incendie et Risques Divers
Transport
Autres Branches","32 095
2 983
89
29 027","32 686
1 752
52
28 134","130 178
14 993
445
115 033"
STAR,1,1,Total Non Vie,64 194,62 624,260 649
STAR,1,1,Vie,1 381,2 251,13 993
STAR,1,1,Total Général,65 574,64 875,274 642
STAR,1,1,SINISTRES DECLARES (NOMBRE),,,
STAR,1,1,Branches,1er Trimestre 2026,1er Trimestre 2025,AU 31/12/2025
STAR,1,1,"Automobile
Incendie et Risques Divers
Transport
Autres Branches*","10 910
843
26
126 596","10 271
545
18
135 804","42 096
2 640
96
569 083"
STAR,1,1,Total Non Vie,138 375,146 638,613 915
STAR,1,1,Vie,289,192,667
STAR,1,1,Total Général,138 664,146 830,614 582
STAR,1,1,"*Bulletins de soin Groupe Maladie
PRODUITS FINANCIERS ECHUS*
1er Trimestre 2026 1er Trimestre 2025 AU 31/12/2025",,,
STAR,1,1,,1er Trimestre 2026,1er Trimestre 2025,AU 31/12/2025
STAR,1,1,TOTAL,21 648,22 707,109 015
STAR,1,1,"* Les chiffres au 31/12/2025 sont définitifs et audités
* Les revenus échus et non encore encaissés à court terme sont inclus dans le cumul à la fin de la période et sont de l'ordre de 5 323
mD en 2026 contre 6 598 mD en 2025
*Les plus values/cessions de titres sont intégrées dans les revenus bruts
Les chiffres sont provisoires et sont actualisés au fur et à mesure du traitement des données tardives et ce pour toutes les
branches (Primes émises, Primes acquises, Primes cédées ,Sinistres Réglés , Sinistres déclarés, commissions) , et Revenus
Financiers.",,,
