societe,page,table_num,RUBRIQUE,Note,Exercice 2025,col,col_2,col_3,col_4,col_5,Exercice 2024,col_6,col_7,col_8,col_9,col_10,Notes,"Opérations brutes
2025","Cessions et / ou
rétrocessions 2025","Opération nettes
2025","Opération nettes
2024",2025,2024, Immeuble : 5%,287 367,col_11,1 742 644 1 409 189,col_12,col_13,col_14,col_15,col_16,col_17,333 455,col_18,1 742 644,306 321,511 002 403 798,107 205,8 108 000,6 000 000 0,6 000 000,324 326,324 326_2,332 632 0,332 632,2 386 049,2 132 826,38 872,22 606,23 910 334,21 149 877,76 435,163 284,4 341 896,6 376 392,2 681 684,2 189 961,"95,9%",19 136 028,16 835 592,15 986 301,13 710 212,44 654 761,41 742 984,695 918,497 339,39 703 356,40 397 795 -6 253 614,34 144 181,-19 176 016,-14 543 096 527 656,-14 015 441,-8 216 946,-6 632 814,-466 31,4,-408 401,29 093 467,28 723 634 -210 717,28 512 917,6 188 350,2 989 978 0,2 989 978,-3 517 124,-1 286 061,-25 933 193,-27 221 066 90 016,-27 131 049,11 285 622,7 554 330,1 326 657,787 716,1 889 438,‐ 23 909,Annexes-Notes aux Etats Financiers au 31/12/2025 Assurances At-Takafulia,"Capitaux propres 2024 Avant
Affectation","Affectations et
imputations",Dividendes,Résultat 2025,"Capitaux propres 2025 Avant
Affectation",Valeur brute,Amortissements et provisions,V.C. N. à la clôture,Année d’inventaire,Exercice de survenance,"Revenu et frais
concernant les
placements dans les
entreprises liées et
avec lien de
participations","Autres revenus et
frais",Total,Prevoyance,Epargne,Rubriques,Automobile,Transport,Incendie,"Santé, Inc & Invalidité",RC,I.A,Assitance,RDS,Acceptation,Raccordement,TOTAL,Placements,"Affectation
des
placements","Date
Souscriptions","Date
d'échéances","Montant
(DT)","Produits
2025","Affectation du
placement",Montant (DT),Produit 2025 (DT),Affectation du placement,"Affectation du placement
WIFAK SICAR","Encours le 31/12/2025
En (DT)",Directeur Général,Directeur Géneral Adjoint,"Président du conseil,
Administrateurs et
membres des comités"
TAKAFULIA,2,1,,,"Fonds des
Adhérents",,"Entreprise
Takaful
et/ou
Rétakaful","Entreprise
Takaful
et/ou
Rétakaful
combiné",,,"Fonds des
Adhérents","Entreprise
Takaful
et/ou
Rétakaful",,,"Entreprise
Takaful
et/ou
Rétakaful
combiné",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,"Actifs
AC1 Actifs incorporels
AC12 Concessions, brevets, licences, marques
AC2 Actifs corporels d'exploitation
AC21 Installations techniques et machines
AC22 Autres installations, outillage et mobilier
AC3 Placements
AC31 Terrains et constructions
AC311 Terrains et constructions d'exploitation
AC312 Terrains et constructions hors exploitation
AC33 Autres placements financiers AC34 Créances pour
espèces déposées auprès des entreprises cédantes
AC331 Actions, autres titres à revenu variable et part
dans des FCP islamiques
AC332 Sukuks et autres titres à revenus assimilés
AC333 Autres prêts
AC334 Dépôts auprès des établissements bancaires et
financiers islamiques
AC335 Autres placements conformes aux normes
sharaïques
AC34 Créances pour espèces déposées auprès des entreprises
cédantes
AC5 Part des réassureurs dans les provisions techniques
AC51 Provision pour primes non acquises
AC52 Provision d'assurance takaful familial
AC53 Provision pour sinistres (takaful familial)
AC54 Provision pour sinistres (takaful Général)
AC6 Créances
AC61 Créances nées d'opérations d'assurance directe
AC611 Primes acquises et non émises
AC612 Autres créances nées d'opération d'assurance
takaful directe
AC613 Créances indemnisées subrogées à l'entreprise
d'assurance
AC62 Créances nées d'opérations de rétakaful
AC63 Autres créances
AC631 Personnel
AC632 Etat, organismes de sécurité sociale,
collectivités publiques
AC633 Débiteurs diver
AC64 Créances sur ressources spéciales
AC66 Créances sur le fonds des adhérents (Commissions
Wakala, Moudhraba et autres créances)
AC7 Autres éléments d'actif
AC71 Avoirs en banque, CCP, chèques et caisse
AC72 Charges reportées
AC721 Frais d'acquisition reportés
AC722 Autres charges à repartir
AC73 Comptes de régularisation Actif
AC731 Loyers acquis non échus","III‐1
III‐2
III‐3
III‐4
III‐5
III‐6
III‐7
III‐8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,‐,,291 645,,291 645,,‐,,342 020,,,342 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,,,291 645,291 645,,,,342 020,,,342 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,‐,,954 853,,954 853,,‐,,616 516,,,616 516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,,,"920 601
34 251","920 601
34 251",,,,"576 992
39 524",,,"576 992
39 524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,130 274 855,,30 506 568,,160 781 423,,92 233 779,,30 179 661,,,122 413 440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,"2 318 913
‐
2 318 913
127 631 616
600 000
68 680 000
58 351 616
‐
324 326",,"9 133 378
8 108 000
1 025 378
21 373 190
4 560 000
12 242 800
35 159
4 500 000
35 231
‐","11 452 291
8 108 000
3 344 292
149 004 806
5 160 000
80 922 800
35 159
62 851 616
35 231
324 326",,,"2 468 876
‐
2 468 876
89 432 271
5 600 000
24 880 000
58 952 271
‐
332 632","6 827 110
6 000 000
827 110
23 352 551
3 580 000
9 857 100
19 044
9 830 000
66 406
‐",,,"9 295 986
4 000 000
3 295 986
112 784 822
9 180 000
34 737 100
19 044
68 782 271
66 406
332 632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,8 530 814,,‐,8 530 814,,,7 915 780,‐,,,7 915 780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKAFULIA,2,1,,,"2 386 049
1 542 003
7 200
4 595 561",,,"2 386 049
1 542 003
7 200
4 595 561",,,"2 132 826
1 500 078
115 538
4 167 338",,,,"2 132 826
1 500 078
115 538
4 167 338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
